Batch	scan005.sre
UV540 113302	None
beetroot02 Cycle01	08/11/2022 15:56:21PM
nm	A
593.00	0.207
594.00	0.195
595.00	0.184
596.00	0.175
597.00	0.166
598.00	0.157
599.00	0.150
600.00	0.142
601.00	0.135
602.00	0.126
603.00	0.121
604.00	0.115
605.00	0.109
606.00	0.105
607.00	0.099
608.00	0.094
609.00	0.090
610.00	0.086
611.00	0.083
612.00	0.079
613.00	0.076
614.00	0.073
615.00	0.072
616.00	0.068
617.00	0.066
618.00	0.064
619.00	0.062
620.00	0.059
621.00	0.058
622.00	0.057
623.00	0.055
624.00	0.053
625.00	0.052
626.00	0.052
627.00	0.052
628.00	0.050
629.00	0.048
630.00	0.048
631.00	0.047
632.00	0.047
633.00	0.045
634.00	0.045
635.00	0.044
636.00	0.043
637.00	0.044
638.00	0.044
639.00	0.043
640.00	0.041
641.00	0.041
642.00	0.041
643.00	0.042
644.00	0.041
645.00	0.039
646.00	0.041
647.00	0.039
648.00	0.038
649.00	0.040
650.00	0.039
651.00	0.038
652.00	0.039
653.00	0.038
654.00	0.038
655.00	0.038
656.00	0.037
657.00	0.038
658.00	0.037
659.00	0.036
660.00	0.036
661.00	0.037
662.00	0.037
663.00	0.036
664.00	0.036
665.00	0.037
666.00	0.037
667.00	0.035
668.00	0.035
669.00	0.036
670.00	0.035
671.00	0.034
672.00	0.035
673.00	0.036
674.00	0.035
675.00	0.034
676.00	0.035
677.00	0.034
678.00	0.034
679.00	0.035
680.00	0.034
681.00	0.035
682.00	0.034
683.00	0.033
684.00	0.033
685.00	0.033
686.00	0.033
687.00	0.032
688.00	0.034
689.00	0.033
690.00	0.033
691.00	0.031
692.00	0.032
693.00	0.032
694.00	0.032
695.00	0.032
696.00	0.031
697.00	0.031
698.00	0.031
699.00	0.030
700.00	0.033
701.00	0.031
702.00	0.031
703.00	0.030
704.00	0.030
705.00	0.031
706.00	0.031
707.00	0.032
708.00	0.031
709.00	0.031
710.00	0.033
711.00	0.031
712.00	0.030
713.00	0.030
714.00	0.030
715.00	0.030
716.00	0.030
717.00	0.031
718.00	0.030
719.00	0.029
720.00	0.028
721.00	0.029
722.00	0.029
723.00	0.030
724.00	0.029
725.00	0.029
726.00	0.029
727.00	0.028
728.00	0.029
729.00	0.027
730.00	0.028
731.00	0.028
732.00	0.027
733.00	0.028
734.00	0.028
735.00	0.029
736.00	0.028
737.00	0.028
738.00	0.027
739.00	0.028
740.00	0.028
741.00	0.027
742.00	0.028
743.00	0.027
744.00	0.027
745.00	0.027
746.00	0.028
747.00	0.027
748.00	0.028
749.00	0.027
750.00	0.026
751.00	0.027
752.00	0.026
753.00	0.026
